Listing_num,Address,City,House_type,Price,Estimated_price,Estimated_on,Bedroom_num,Washroom_num,Parking_num,Tax,Maintenance,Building_age,Size,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Property_style,Exposure,Description
C4844438,Unit 507 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 579,000","$543,101",As of 2020-08-04,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,224",-,"water,heat",-,2020-07-24,2020-08-04,"$2,082",4.02%,Bathurst & Eglinton,Apartment,N,"Welcome To The Hill. Situated On The Border Of Forest Hill & Cedarvale. This Suite Is In A Perfect Location. No Space Is Wasted In This Well Laid Out Space. Beautiful High End Finishes With A Private Large Balcony. Subway, Parks, Restaurants, Convenient Stores Are At Your Door Step.
Include All Appliances."
C4901798,Unit 315 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 499,000","$478,548",As of 2020-09-11,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,444",$578/month,"water,heat",0-5,2020-09-08,2020-09-11,"$2,100",3.12%,Bathurst+Eglinton,Apartment,E,"Welcome To ""The Hill"" In Upper Forest Hill Village! Open Concept Layout Filled With Wall To Wall Windows, Laminate Floors, Modern Kitchen With Sleek Cabinetry And Stainless Steel Appliances. Custom Blinds, Lighting And Frosted Sliding Doors.Great Parking Spot! Exceptional Amenities Include: Concierge, Gym, Guest Suites + More - Steps To Upcoming Lrt.
S/S Fridge,Ceramic Cooktop,S/S Oven S/S Micro,S/S Range Hood,Dishwasher,W+D,All Elf's,Custom Blinds+All Existing Furnishings (1 Queen Bed Frame,Entertainment Unit,Closet Organizers.)*Bell Service Bundle Avail $40+Hst/Mo Cable+Internet."
C4869792,Unit 706 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 569,000","$569,629",As of 2020-09-11,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,441",$550/month,"water,heat",-,2020-08-13,2020-09-11,"$2,100",2.68%,Bathurst&Eglinton,Apartment,N,"Welcome To Upper Forest Hill! Functional Loft Style 1 Bed(W Parking). Boutique Luxury Building ""The Hill"" Is Steps From The Lrt, Eglinton W Subway, &Allen Rd/Hwy 401. Open Concept Unit,Bright&Airy. Wall-To-Wall/Floor-To-Ceiling Windows. 9' Ceilings. Eat-In Kitchen W S/S Appliances&Quartz Countertop&Backsplash. Stunning Master W Glass Doors. 3 Pc Bath W Glass Shower. Balcony W City Views. Foyer W Lrg Closet&Separate Laundry Closet. Not An Inch Of Wasted Space!
S/S Whirlpool Fridge, Stove, Hood, Dishwasher,&Microwave. Whirlpool Stacked Washer&Dryer. All Full Sized! All Elfs&Window Coverings. One Parking. Amenities:Gym, Guest Suites, Rooftop Deck/Garden, Party Room, Concierge,& More. Green P Under!"
C4877344,Unit 807 - 1486 Bathurst St,Humewood-Cedarvale - Toronto,Condo Apt,"$ 649,000","$638,624",As of 2020-08-19,1 Bedrooms,1 Bathrooms,1 Garage,$ -,$476/month,"water,heat",New,2020-08-19,2020-08-19,"$2,291",3.27%,Bathurst & St. Clair,Apartment,Sw,"Live Like A Baron/Baroness At The Barrington In This Rarely Available 1Br Featuring 2 Balconies Overlooking Clear S/W Views Of Stunning St. Clair W. Enjoy An Excellent & Super-Functional Layout With Top-Of-The-Line Brand New Appliances In This Never-Been-Lived-In Spacious 588Sf Unit, Or Treat As An Aaa Investment And Source Discerning Residents Who Wish To Be Close To Ttc, Wychwood Barns And All Amazing Amenities That This Vibrant Neighbourhood Has To Offer.
Corner Unit With 115Sf Of Exclusive Outdoor Space, Includes Parking, Storage Locker And Bike Storage, Friendly & Attentive Concierge, Steps To St. Clair W. Ttc Station, Loblaws, Starbucks, Trendy Restaurants, Winston Churchill Park & More."
C4796356,Unit 402 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 979,000","$989,159",As of 2020-09-10,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,200",$981/month,"water,heat",New,2020-06-17,2020-09-10,"$2,389",1.28%,Bathurst & Eglinton,Apartment,S,"Nestled In One Of The Most Prestigious Locations In The City You New Home Awaits In This Luxury Condo At ""The Hill"" In Upper Forest Hill Village. This Split Open Concept, 2 Bdr, 2 Bathroom Includes Master En-Suite, W/I Closet, In-Suite Laundry, Floor To Ceiling Windows, ,. Huge 392 Sq/Ft Terrace Overlooking All The Best The City Has To Offer. Steps To Some Of The Trendiest Shops, Restaurants, Subway, Future Lrt And Lots More!
Full Size Ss Fridge, Stove Top, Oven, Range Hood, Dishwasher, Under Mount Sink, Washer, Dryer. Building Amenities Include Concierge, Gym, Party Room, Guest Suite, Terrace & Parking"
C4906383,Unit 101 - 35 Raglan Ave,Humewood-Cedarvale - Toronto,Condo Apt,"$ 599,000","$587,029",As of 2020-09-10,2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,047",$599/month,"water,hydro,heat",51-99,2020-09-09,2020-09-10,"$2,250",2.86%,St Clair W/Bathurst,Apartment,W,"Ideal Condo For Social-Distancing Living! Garden-Level Spacious 2-Bedrooms In A New York Style Brick Walk-Up In One Of Toronto's Best Neighbourhoods! Large Open-Concept Kitchen With Granite And Stainless Counters. Light-Filled And Convenient Location 5 Min Walk From Subway And 1 Min To Streetcar. Loblaws, Shoppers, Starbucks, Wychwood Barns, Ravine & More! Ensuite+ Bsmt Lockers, Bike Storage, Free Gas Bbq. No Dogs, Cats Ok! Well-Managed Boutique Building!
All Utilities Included. Fridge, Stove, Dishwasher, 2 A/C Units And All Elfs Included. Window Treatments And Custom Curtain In Bedroom. Several Parking Rental Options Next Door For $75-$100/Mo. Clean Updated Laundry. Fireplace Is Decorative."
C4895915,Unit 1504 - 1486 Bathurst St,Humewood-Cedarvale - Toronto,Condo Apt,"$ 849,000","$911,050",As of 2020-09-04,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,993",$716/month,water,New,2020-09-02,2020-09-04,"$3,192",2.68%,Bathurst And St. Clair,Apartment,Se,"At The Heart Of Bathurst And St. Clair Lives A Suite With A New Look And A New Unbeatable Price That Is Perfect For The Work From Home Lifestyle. The 927 Sq. Ft. 2 Bedroom + 2 Bath + Den Unit Provides Ample Space For An Uninterrupted Zoom Call. This Suite Comes Complete With 2 Balconies That Together Make Out To Be 137 Sq. Ft. Steps Away From The Ttc And All Things Necessary For Proper City Living. Views Of The Lush Wells Hill Park And The Cn Tower.
Ft: Oversized Windows, Se Facing Sun-Filled Rms, Hrdwd Laminate Flrs, Modern Kit. W/Upgraded Full-Size Stainless Steel Appliances, 1 Parking,1 Locker & 1 Bike Locker. Amenities:Fitness Centre W/Yoga Studio, Party Rm W/Terrace, 24H Concierge"
C4797818,Unit 601 - 530 St Clair Ave W,Humewood-Cedarvale - Toronto,Condo Apt,"$ 670,000","$679,172",As of 2020-07-14,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,453",$590/month,"water,heat",6-10,2020-06-18,2020-07-12,"$2,158",2.2%,St Clair / Bathurst,Apartment,W,"Prime Location, Boutique Condo Building Located At Prestigious St Clair & Bathurst Neighborhood, Immaculate And Sun Filled 1 Bed + Den Unit With Spectacular West View, 734 Sf + 100 Sf Balcony, Spacious Layout With Contemporary Finishes, 9' Ceilings, Excellent Amenities Incl Gym, Sauna, Spa, Game Room, Media Room, Party Room, Outdoor Terrace & 24 Hr Concierge, Steps To Subway, Restaurants, Shops And Close To St Michael's College School & Upper Canada College.
Stainless Steels Appliances: Stove, Fridge, Over The Range Microwave, Dishwasher; White Stacked Washer & Dryer, Existing Elfs, Existing Window Coverings And One Locker."
C4869459,Unit 732 - 161 Roehampton Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 559,000","$539,420",As of 2020-08-13,1 Bedrooms,1 Bathrooms,0 Garage,$ -,$326/month,New,500-599 feet²,2020-08-13,2020-08-13,"$1,931",3.37%,Eglinton & Mt. Pleasant,Apartment,W,"Freed Built, Brand New 1 Bedroom Unit, Approximately 519 Sq Ft. With 97 Sq Ft Open Balcony, Floor To Ceiling Windows, Quartz Counter, Panel Fridge, Built In Appliances, Custom Bathroom, Open Concept Layout. Steps To Yonge & Eginton Centre, Subway, Loblaws, Lcbo, Shops, Restaurants & Schools.
Fridge, Stove, Kitchen Hood. Washer & Dryer, Existing Window Blinds"
C4860680,Unit 5503 - 8 Eglinton Ave,Mount Pleasant East - Toronto,Condo Apt,"$ 634,800","$664,299",As of 2020-08-07,1+4 Bedrooms,1 Bathrooms,0 Garage,"$ 2,500",$347/month,"water,heat",-,2020-08-07,2020-08-07,"$2,831",3.86%,Yonge / Eglinton,Apartment,W,"Beautiful Prestigious Luxury E-Condos,Located In The Heart Of The City At Yonge/Eglinton .9 Feet Ceiling ,Modern Finishes ,Huge Balcony Walking Access From Living Room And Bedroom, High Floor Bright Unobstructed South West View.Luxury Amenities Include Indoor Pool,Party Room,Tech Lounge,Yoga Studio & Much More ,Direct Underground Access To Subway, High End Integrated Energy Efficient European Appliances, Ideal Location Walk To Shopping Centres, Movie Theater
Built In S.S. Fridge, Stove, Microwave, Dishwasher, Washer& Dryer, Electrical Light Fixtures, One Locker . Amenities: Indoor Pool W/Glass Wall Looking South, Gym, Yoga Studio, Boxing Gallery, Party Rm, Terrace, Concierge"
